name,date,desc,history_related
3·1절,03월 01일,국권 회복을 위해 민족자존의 기치를 드높였던 선열들의 위업을 기리고 3·1 독립정신을 계승·발전시켜 민족의 단결과 애국심을 고취함.,1
순국선열의 날,11월 17일,학생독립운동의 정신을 계승·발전시켜 학생들에게 자율역량과 애국심을 함양시키는 행사를 한다.,1
학생독립운동 기념일,11월 03일,학생독립운동의 정신을 계승·발전시켜 학생들에게 자율역량과 애국심을 함양시키는 행사를 한다.,1
5·18민주화운동 기념일,05월 18일,5·18민주화운동 기념일은 1980년 5월 18일부터 27일까지 광주를 중심으로 일어난 대규모 민주화운동을 기념하는 날이다.,1
6·10민주항쟁 기념일,06월 10일,6·10민주항쟁을 기념하는 행사를 한다.,1
6·25전쟁일,06월 25일,6·25전쟁을 상기하여 국민의 안보의식을 북돋우는 행사를 한다.,1
충무공 이순신 탄신일,04월 28일,충무공 이순신의 숭고한 충의를 길이 빛내는 행사를 한다.,1
6·10만세운동 기념일,06월 10일,일제의 강제병합과 식민지배에 항거한 순국선열의 숭고한 독립정신과 희생정신을 계승하기 위한 행사를 한다.,1
국군의 날,10월 01일,"국군의 위용 및 전투력을 국내외에 과시하고, 국군장병의 사기를 높이는 행사를 한다.",1
의병의 날,06월 01일,"의병의 희생정신을 기리고, 국민의 나라사랑 정신을 북돋우는 행사를 한다.",1
예비군의 날,04월 04일,모든 예비군이 참가하여 국가방위의 임무를 새롭게 다짐하는 행사를 한다.,1
어린이날,05월 05일,어린이들이 올바르고 슬기롭고 씩씩하게 자라도록 하는 행사를 한다.,0
우주항공의 날,05월 27일,"우주경제 시대의 중요성을 알리고, 우주항공 산업의 진흥을 촉진하는 행사를 한다.",0
어버이날,05월 28일,"조상과 어버이에 대한 은혜를 헤아리고, 어른과 노인 보호와 관련된 행사를 한다.",0
